BSG|682	CD44|960	CD38|952	CA9|768	MUC16|94025	CD9|928	EGFR|1956	CD70|970	MUC1|4582	FZD10|11211
BSG|682	1	1	0.25	0.25	0.25	1	1	0.166666666666667	1	0.25
CD44|960	1	1	0.25	0.25	0.25	1	1	0.166666666666667	1	0.25
CD38|952	4	4	1	1	1	4	4	0.5	4	1
CA9|768	4	4	1	1	1	4	4	0.5	4	1
MUC16|94025	4	4	1	1	1	4	4	0.5	4	1
CD9|928	1	1	0.25	0.25	0.25	1	1	0.166666666666667	1	0.25
EGFR|1956	1	1	0.25	0.25	0.25	1	1	0.166666666666667	1	0.25
CD70|970	6	6	2	2	2	6	6	1	6	2
MUC1|4582	1	1	0.25	0.25	0.25	1	1	0.166666666666667	1	0.25
FZD10|11211	4	4	1	1	1	4	4	0.5	4	1
